Year,Geographical Location,Income decile,Income,Highest-to-Lowest Average Income Ratio, Income Range
1978,Quebec,Third decile,31600,NA,NA
1978,Quebec,Fourth decile,41500,NA,NA
1978,Quebec,Fifth decile,51000,NA,NA
1978,Quebec,Sixth decile,60400,NA,NA
1978,Quebec,Seventh decile,70200,NA,NA
1978,Quebec,Eighth decile,80800,NA,NA
1978,Quebec,Ninth decile,97200,NA,NA
1978,Quebec,Highest decile,139300,NA,NA
1978,Ontario,Total deciles,66500,18.298850574712645,150500
1978,Ontario,Lowest decile,8700,NA,NA
1978,Ontario,Second decile,21600,NA,NA
1978,Ontario,Third decile,34000,NA,NA
1978,Ontario,Fourth decile,46600,NA,NA
1978,Ontario,Fifth decile,56500,NA,NA
1978,Ontario,Sixth decile,66100,NA,NA
1978,Ontario,Seventh decile,76500,NA,NA
1978,Ontario,Eighth decile,88800,NA,NA
1978,Ontario,Ninth decile,106900,NA,NA
1978,Ontario,Highest decile,159200,NA,NA
1978,Prairie provinces,Total deciles,63100,23.07246376811594,152300
1978,Prairie provinces,Lowest decile,6900,NA,NA
1978,Prairie provinces,Second decile,20200,NA,NA
1978,Prairie provinces,Third decile,30200,NA,NA
1978,Prairie provinces,Fourth decile,40800,NA,NA
1978,Prairie provinces,Fifth decile,51200,NA,NA
1978,Prairie provinces,Sixth decile,61400,NA,NA
1978,Prairie provinces,Seventh decile,72400,NA,NA
1978,Prairie provinces,Eighth decile,84900,NA,NA
1978,Prairie provinces,Ninth decile,103300,NA,NA
1978,Prairie provinces,Highest decile,159200,NA,NA
1978,Manitoba,Total deciles,56600,28.183673469387756,133200
1978,Manitoba,Lowest decile,4900,NA,NA
1978,Manitoba,Second decile,15800,NA,NA
1978,Manitoba,Third decile,25500,NA,NA
1978,Manitoba,Fourth decile,36600,NA,NA
1978,Manitoba,Fifth decile,46900,NA,NA
1978,Manitoba,Sixth decile,56200,NA,NA
1978,Manitoba,Seventh decile,66100,NA,NA
1978,Manitoba,Eighth decile,78400,NA,NA
1978,Manitoba,Ninth decile,97200,NA,NA
1978,Manitoba,Highest decile,138100,NA,NA
1978,Saskatchewan,Total deciles,57800,16.72289156626506,130500
1978,Saskatchewan,Lowest decile,8300,NA,NA
1978,Saskatchewan,Second decile,19600,NA,NA
1978,Saskatchewan,Third decile,28000,NA,NA
1978,Saskatchewan,Fourth decile,36900,NA,NA
1978,Saskatchewan,Fifth decile,45900,NA,NA
1978,Saskatchewan,Sixth decile,55200,NA,NA
1978,Saskatchewan,Seventh decile,66800,NA,NA
1978,Saskatchewan,Eighth decile,80000,NA,NA
1978,Saskatchewan,Ninth decile,98100,NA,NA
